estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
1922,324,32,"(1, 2)","(32, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1923,324,32,"(1, 2)","(32, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1924,324,32,"(1, 2)","(32, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1925,324,32,"(1, 2)","(32, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1926,324,32,"(1, 2)","(64, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1927,324,32,"(1, 2)","(64, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1928,324,32,"(1, 2)","(64, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1929,324,32,"(1, 2)","(64, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1930,324,32,"(1, 2)","(128, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1931,324,32,"(1, 2)","(128, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1932,324,32,"(1, 2)","(128, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1933,324,32,"(1, 2)","(256, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1934,324,32,"(1, 2)","(256, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1935,324,32,"(1, 2)","(512, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1936,325,8,"(2,)","(8,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1937,325,8,"(2,)","(16,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1938,325,8,"(2,)","(32,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
