estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
49,359,8,"(100000, 816)","(64, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
50,359,8,"(100000, 816)","(128, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
51,359,8,"(100000, 816)","(128, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
52,359,8,"(100000, 816)","(128, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
53,359,8,"(100000, 816)","(256, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
54,359,8,"(100000, 816)","(256, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
55,359,8,"(100000, 816)","(512, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
56,359,16,"(100000,)","(8,)",12500,0.06645479894604443,204.9513385941965,Compute
57,359,16,"(100000, 816)","(1, 8)",10200000,0.07022258256801532,193.95470092271404,Compute
58,359,16,"(100000,)","(16,)",6250,0.038942140264,349.74965185955614,Compute
59,359,16,"(100000, 816)","(1, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
60,359,16,"(100000,)","(32,)",6250,0.038942140264,349.74965185955614,Compute
61,359,16,"(100000, 816)","(1, 32)",5100000,0.03880290425198406,351.0046544854588,Compute
62,359,16,"(100000,)","(64,)",6250,0.038942140264,349.74965185955614,Compute
63,359,16,"(100000, 816)","(1, 64)",5100000,0.03880290425198406,351.0046544854588,Compute
64,359,16,"(100000,)","(128,)",6250,0.038942140264,349.74965185955614,Compute
65,359,16,"(100000, 816)","(1, 128)",5100000,0.03880290425198406,351.0046544854588,Compute
66,359,16,"(100000,)","(256,)",6250,0.038942140264,349.74965185955614,Compute
67,359,16,"(100000, 816)","(1, 256)",5100000,0.03880290425198406,351.0046544854588,Compute
68,359,16,"(100000,)","(512,)",6250,0.038942140264,349.74965185955614,Compute
69,359,16,"(100000, 816)","(1, 512)",5100000,0.03880290425198406,351.0046544854588,Compute
70,359,16,"(100000, 816)","(2, 4)",10200000,0.07022258256801532,193.95470092271404,Compute
71,359,16,"(100000, 816)","(2, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
72,359,16,"(100000, 816)","(2, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
73,359,16,"(100000, 816)","(2, 32)",5100000,0.03880290425198406,351.0046544854588,Compute
74,359,16,"(100000, 816)","(2, 64)",5100000,0.03880290425198406,351.0046544854588,Compute
75,359,16,"(100000, 816)","(2, 128)",5100000,0.03880290425198406,351.0046544854588,Compute
76,359,16,"(100000, 816)","(2, 256)",5100000,0.03880290425198406,351.0046544854588,Compute
77,359,16,"(100000, 816)","(4, 2)",10200000,0.07022258256801532,193.95470092271404,Compute
78,359,16,"(100000, 816)","(4, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
79,359,16,"(100000, 816)","(4, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
80,359,16,"(100000, 816)","(4, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
81,359,16,"(100000, 816)","(4, 32)",5100000,0.03880290425198406,351.0046544854588,Compute
82,359,16,"(100000, 816)","(4, 64)",5100000,0.03880290425198406,351.0046544854588,Compute
83,359,16,"(100000, 816)","(4, 128)",5100000,0.03880290425198406,351.0046544854588,Compute
84,359,16,"(100000, 816)","(8, 1)",10200000,0.07022258256801532,193.95470092271404,Compute
85,359,16,"(100000, 816)","(8, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
86,359,16,"(100000, 816)","(8, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
87,359,16,"(100000, 816)","(8, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
88,359,16,"(100000, 816)","(8, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
89,359,16,"(100000, 816)","(8, 32)",5100000,0.03880290425198406,351.0046544854588,Compute
90,359,16,"(100000, 816)","(8, 64)",5100000,0.03880290425198406,351.0046544854588,Compute
91,359,16,"(100000, 816)","(16, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
92,359,16,"(100000, 816)","(16, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
93,359,16,"(100000, 816)","(16, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
94,359,16,"(100000, 816)","(16, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
95,359,16,"(100000, 816)","(16, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
96,359,16,"(100000, 816)","(16, 32)",5100000,0.03880290425198406,351.0046544854588,Compute
97,359,16,"(100000, 816)","(32, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
98,359,16,"(100000, 816)","(32, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
99,359,16,"(100000, 816)","(32, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
100,359,16,"(100000, 816)","(32, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
101,359,16,"(100000, 816)","(32, 16)",5100000,0.03880290425198406,351.0046544854588,Compute
102,359,16,"(100000, 816)","(64, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
103,359,16,"(100000, 816)","(64, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
104,359,16,"(100000, 816)","(64, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
105,359,16,"(100000, 816)","(64, 8)",5100000,0.03880290425198406,351.0046544854588,Compute
106,359,16,"(100000, 816)","(128, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
107,359,16,"(100000, 816)","(128, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
108,359,16,"(100000, 816)","(128, 4)",5100000,0.03880290425198406,351.0046544854588,Compute
109,359,16,"(100000, 816)","(256, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
110,359,16,"(100000, 816)","(256, 2)",5100000,0.03880290425198406,351.0046544854588,Compute
111,359,16,"(100000, 816)","(512, 1)",5100000,0.03880290425198406,351.0046544854588,Compute
112,359,32,"(100000,)","(8,)",12500,0.12488799196616293,109.05772272878083,Compute
113,359,32,"(100000, 816)","(1, 8)",10200000,0.1325915592101047,102.72147096798024,Compute
114,359,32,"(100000,)","(16,)",6250,0.06969645237985185,195.4188417764766,Compute
115,359,32,"(100000, 816)","(1, 16)",5100000,0.06998944702248662,194.60076596439018,Compute
116,359,32,"(100000,)","(32,)",3125,0.03485096989362963,390.80691417112007,Compute
117,359,32,"(100000, 816)","(1, 32)",2600000,0.035614379830086515,382.4297956325502,Compute
